"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"filled" 0.0366607311197235 0.0578279810324222 0.0329684821310827 0.0168890390136801
"full" 0.0314234838169058 0.0385519873549482 0.0461558749835158 0.0337780780273602
"greater" 0.0680842149366293 0.0269863911484637 0.0197810892786496 0.0337780780273602
"lay" 0.0471352257253587 0.0269863911484637 0.0461558749835158 0.0337780780273602
"lest" 0.0261862365140882 0.0385519873549482 0.0395621785572992 0.0422225975342003
"off" 0.0157117419084529 0.0385519873549482 0.0659369642621654 0.0337780780273602
"sepulchre" 0.057609720330994 0.0308415898839585 0.0395621785572992 0.0253335585205202
"sins" 0.0314234838169058 0.042407186090443 0.0527495714097323 0.0253335585205202
"sit" 0.00523724730281764 0.0501175835614326 0.0395621785572992 0.0464448572876203
"sought" 0.0471352257253587 0.0501175835614326 0.0329684821310827 0.0168890390136801
"well" 0.057609720330994 0.0269863911484637 0.0395621785572992 0.0295558182739402
"woe" 0 0.0578279810324222 0.0131873928524331 0.0591116365478804
"abraham" 0.0418979784225411 0.0539727822969274 0.00659369642621654 0.0295558182739402
"answering" 0 0.0848143721808859 0.0461558749835158 0.00422225975342003
"commanded" 0.00523724730281764 0.0346967886194533 0.0659369642621654 0.0422225975342003
"eye" 0 0.0385519873549482 0.0263747857048661 0.0675561560547205
"ghost" 0.0261862365140882 0.0462623848259378 0.0395621785572992 0.0295558182739402
"israel" 0.0209489892112706 0.0462623848259378 0.0131873928524331 0.0506671170410404
"last" 0.0418979784225411 0.0192759936774741 0.0329684821310827 0.0506671170410404
"mine" 0.0837959568450822 0.0269863911484637 0.0131873928524331 0.0211112987671002
"never" 0.0628469676338117 0.0192759936774741 0.0461558749835158 0.0253335585205202
"nigh" 0.0366607311197235 0.0539727822969274 0.0329684821310827 0.0168890390136801
"only" 0.0523724730281764 0.0231311924129689 0.0263747857048661 0.0422225975342003
"sake" 0.0261862365140882 0.0192759936774741 0.0527495714097323 0.0506671170410404
"shew" 0.0471352257253587 0.0308415898839585 0.0263747857048661 0.0380003377807803
"whose" 0.0523724730281764 0.0385519873549482 0.0263747857048661 0.0253335585205202
"alone" 0.057609720330994 0.0308415898839585 0.0395621785572992 0.0168890390136801
"angels" 0.0104744946056353 0.0346967886194533 0.0329684821310827 0.0548893767944604
"bear" 0.0785587095422646 0.0308415898839585 0.0131873928524331 0.0168890390136801
"blood" 0.0314234838169058 0.0308415898839585 0.0197810892786496 0.0506671170410404
